Episodes, Test_Sample_Rate, Total_Avg_Rate
77900,74.0,72.09
78000,80.0,72.1
78100,71.0,72.1
78200,62.0,72.09
78300,75.0,72.09
78400,72.0,72.09
78500,80.0,72.1
78600,71.0,72.1
78700,70.0,72.1
78800,73.0,72.1
78900,79.0,72.11
79000,65.0,72.1
79100,74.0,72.1
79200,70.0,72.1
79300,66.0,72.09
79400,78.0,72.1
79500,75.0,72.1
79600,80.0,72.11
79700,70.0,72.11
79800,69.0,72.11
79900,76.0,72.11
80000,65.0,72.1
80100,75.0,72.1
80200,81.0,72.12
80300,77.0,72.12
80400,77.0,72.13
80500,76.0,72.13
80600,73.0,72.13
80700,71.0,72.13
80800,75.0,72.14
80900,71.0,72.13
81000,73.0,72.14
81100,73.0,72.14
81200,75.0,72.14
81300,78.0,72.15
81400,71.0,72.15
81500,75.0,72.15
81600,74.0,72.15
81700,70.0,72.15
81800,67.0,72.14
81900,72.0,72.14
82000,78.0,72.15
82100,70.0,72.15
82200,74.0,72.15
82300,71.0,72.15
82400,71.0,72.15
82500,74.0,72.15
82600,73.0,72.15
82700,66.0,72.14
82800,71.0,72.14
82900,81.0,72.15
83000,74.0,72.15
83100,79.0,72.16
83200,80.0,72.17
83300,64.0,72.16
83400,67.0,72.16
83500,80.0,72.17
83600,76.0,72.17
83700,77.0,72.18
83800,72.0,72.18
83900,81.0,72.19
84000,73.0,72.19
84100,76.0,72.19
84200,64.0,72.18
84300,71.0,72.18
84400,72.0,72.18
84500,69.0,72.18
84600,81.0,72.19
84700,69.0,72.18
84800,72.0,72.18
84900,84.0,72.2
85000,68.0,72.19
85100,77.0,72.2
85200,83.0,72.21
85300,75.0,72.21
85400,72.0,72.21
85500,57.0,72.2
85600,74.0,72.2
85700,76.0,72.2
85800,76.0,72.21
85900,46.0,72.18
86000,71.0,72.17
86100,74.0,72.18
86200,67.0,72.17
86300,72.0,72.17
86400,77.0,72.18
86500,71.0,72.17
86600,68.0,72.17
86700,76.0,72.17
86800,73.0,72.18
86900,71.0,72.17
87000,79.0,72.18
87100,70.0,72.18
87200,74.0,72.18
87300,72.0,72.18
87400,73.0,72.18
87500,81.0,72.19
87600,74.0,72.19
87700,75.0,72.2
87800,75.0,72.2
87900,66.0,72.19
88000,71.0,72.19
88100,80.0,72.2
88200,67.0,72.2
88300,70.0,72.19
88400,76.0,72.2
88500,80.0,72.21
88600,70.0,72.2
88700,76.0,72.21
88800,70.0,72.2
88900,68.0,72.2
89000,75.0,72.2
89100,75.0,72.21
89200,76.0,72.21
89300,72.0,72.21
89400,75.0,72.21
89500,75.0,72.22
89600,78.0,72.22
89700,75.0,72.23
89800,74.0,72.23
89900,72.0,72.23
90000,77.0,72.23
90100,72.0,72.23
90200,72.0,72.23
90300,75.0,72.24
90400,85.0,72.25
90500,70.0,72.25
90600,73.0,72.25
90700,78.0,72.25
90800,70.0,72.25
90900,74.0,72.25
91000,74.0,72.26
91100,75.0,72.26
91200,73.0,72.26
91300,74.0,72.26
91400,70.0,72.26
91500,76.0,72.26
91600,64.0,72.25
91700,77.0,72.26
91800,78.0,72.27
91900,71.0,72.26
92000,72.0,72.26
92100,69.0,72.26
92200,81.0,72.27
92300,66.0,72.26
92400,69.0,72.26
92500,74.0,72.26
92600,74.0,72.26
92700,82.0,72.27
92800,52.0,72.25
92900,75.0,72.26
93000,70.0,72.25
93100,75.0,72.26
93200,73.0,72.26
93300,76.0,72.26
93400,66.0,72.25
93500,69.0,72.25
93600,75.0,72.25
93700,73.0,72.25
93800,75.0,72.26
93900,77.0,72.26
94000,74.0,72.26
94100,75.0,72.27
94200,77.0,72.27
94300,77.0,72.28
94400,76.0,72.28
94500,52.0,72.26
94600,73.0,72.26
94700,75.0,72.26
94800,70.0,72.26
94900,72.0,72.26
95000,76.0,72.26
95100,75.0,72.27
95200,75.0,72.27
95300,65.0,72.26
95400,80.0,72.27
95500,72.0,72.27
95600,80.0,72.28
95700,75.0,72.28
95800,73.0,72.28
95900,69.0,72.28
96000,65.0,72.27
96100,67.0,72.27
96200,68.0,72.26
96300,71.0,72.26
96400,73.0,72.26
96500,73.0,72.26
96600,74.0,72.26
96700,68.0,72.26
96800,71.0,72.26
96900,71.0,72.26
97000,74.0,72.26
97100,75.0,72.26
97200,79.0,72.27
97300,79.0,72.27
97400,72.0,72.27
97500,81.0,72.28
97600,76.0,72.29
97700,65.0,72.28
97800,76.0,72.28
97900,78.0,72.29
98000,80.0,72.3
98100,78.0,72.3
98200,67.0,72.3
98300,78.0,72.3
98400,74.0,72.3
98500,74.0,72.31
98600,75.0,72.31
98700,72.0,72.31
98800,77.0,72.31
98900,71.0,72.31
99000,75.0,72.32
99100,72.0,72.31
99200,79.0,72.32
99300,77.0,72.33
99400,65.0,72.32
99500,77.0,72.32
99600,76.0,72.33
99700,70.0,72.32
99800,69.0,72.32
99900,75.0,72.32
100000,76.0,72.33
